year,event_year,enso_oni_mean,enso_oni_sd,enso_oni_min,enso_oni_max,enso_oni_absmax,enso_el_nino_months,enso_la_nina_months,enso_neutral_months,enso_months_available,enso_dominant_phase,enso_any_el_nino,enso_any_la_nina,enso_oni_mean_lag1y,enso_oni_min_lag1y,enso_oni_max_lag1y,enso_oni_absmax_lag1y,enso_el_nino_months_lag1y,enso_la_nina_months_lag1y,enso_neutral_months_lag1y,enso_oni_mean_lag2y,enso_oni_min_lag2y,enso_oni_max_lag2y,enso_oni_absmax_lag2y,enso_el_nino_months_lag2y,enso_la_nina_months_lag2y,enso_neutral_months_lag2y,enso_oni_mean_lag3y,enso_oni_min_lag3y,enso_oni_max_lag3y,enso_oni_absmax_lag3y,enso_el_nino_months_lag3y,enso_la_nina_months_lag3y,enso_neutral_months_lag3y,enso_lag_oni_mean_last3m,enso_lag_oni_mean_last6m,enso_lag_oni_mean_last12m,enso_lag_oni_mean_last24m,enso_lag_oni_sd_last3m,enso_lag_oni_sd_last6m,enso_lag_oni_sd_last12m,enso_lag_oni_sd_last24m,enso_lag_oni_min_last3m,enso_lag_oni_min_last6m,enso_lag_oni_min_last12m,enso_lag_oni_min_last24m,enso_lag_oni_max_last3m,enso_lag_oni_max_last6m,enso_lag_oni_max_last12m,enso_lag_oni_max_last24m,enso_lag_el_nino_months_last3m,enso_lag_el_nino_months_last6m,enso_lag_el_nino_months_last12m,enso_lag_el_nino_months_last24m,enso_lag_la_nina_months_last3m,enso_lag_la_nina_months_last6m,enso_lag_la_nina_months_last12m,enso_lag_la_nina_months_last24m,enso_lag_neutral_months_last3m,enso_lag_neutral_months_last6m,enso_lag_neutral_months_last12m,enso_lag_neutral_months_last24m,enso_lag_months_available_last3m,enso_lag_months_available_last6m,enso_lag_months_available_last12m,enso_lag_months_available_last24m,enso_lag_dominant_phase_last3m,enso_lag_dominant_phase_last6m,enso_lag_dominant_phase_last12m,enso_lag_dominant_phase_last24m,oni_current,annual_enso_phase
2008,2008,-0.777272727272727,0.511809031620667,-1.64,-0.226666666666667,-1.64,0,7,4,11,La Nina,FALSE,TRUE,-0.628787878787879,-1.59666666666667,0.656666666666667,-1.59666666666667,1,6,4,0.0927272727272727,-0.85,0.943333333333333,0.943333333333333,4,3,4,0.0190909090909091,-0.84,0.636666666666667,-0.84,2,2,7,-1.48,-1.14611111111111,-0.628787878787879,-0.268030303030303,0.127845392738434,0.408680351411258,0.720167068158914,0.770815317054775,-1.59666666666667,-1.59666666666667,-1.59666666666667,-1.59666666666667,-1.34333333333333,-0.556666666666667,0.656666666666667,0.943333333333333,0,0,1,5,3,6,6,9,0,0,4,8,3,6,11,22,La Nina,La Nina,La Nina,La Nina,-0.777272727272727,LA_NINA
2009,2009,0.305454545454545,0.849617263801469,-0.846666666666667,1.56333333333333,1.56333333333333,5,3,3,11,El Nino,TRUE,TRUE,-0.777272727272727,-1.64,-0.226666666666667,-1.64,0,7,4,-0.628787878787879,-1.59666666666667,0.656666666666667,-1.59666666666667,1,6,4,0.0927272727272727,-0.85,0.943333333333333,0.943333333333333,4,3,4,-0.548888888888889,-0.414444444444444,-0.777272727272727,-0.703030303030303,0.191784987633239,0.197131277936153,0.511809031620667,0.614396860085972,-0.736666666666667,-0.736666666666667,-1.64,-1.64,-0.353333333333333,-0.226666666666667,-0.226666666666667,0.656666666666667,0,0,0,1,2,2,7,13,1,4,4,8,3,6,11,22,La Nina,Neutral,La Nina,La Nina,0.305454545454545,NEUTRAL
2010,2010,-0.501212121212121,1.23733878656061,-1.64333333333333,1.49666666666667,-1.64333333333333,3,7,1,11,La Nina,TRUE,TRUE,0.305454545454545,-0.846666666666667,1.56333333333333,1.56333333333333,5,3,3,-0.777272727272727,-1.64,-0.226666666666667,-1.64,0,7,4,-0.628787878787879,-1.59666666666667,0.656666666666667,-1.59666666666667,1,6,4,1.30888888888889,0.943333333333333,0.305454545454545,-0.235909090909091,0.281392042320819,0.445864952149814,0.849617263801469,0.880628041772318,1.00666666666667,0.45,-0.846666666666667,-1.64,1.56333333333333,1.56333333333333,1.56333333333333,1.56333333333333,3,5,5,5,0,0,3,10,0,1,3,7,3,6,11,22,El Nino,El Nino,El Nino,La Nina,-0.501212121212121,LA_NINA
2011,2011,-0.804242424242424,0.284030870423508,-1.30666666666667,-0.37,-1.30666666666667,0,9,2,11,La Nina,FALSE,TRUE,-0.501212121212121,-1.64333333333333,1.49666666666667,-1.64333333333333,3,7,1,0.305454545454545,-0.846666666666667,1.56333333333333,1.56333333333333,5,3,3,-0.777272727272727,-1.64,-0.226666666666667,-1.64,0,7,4,-1.60666666666667,-1.46111111111111,-0.501212121212121,-0.0978787878787879,0.0606446846622008,0.229904972317469,1.23733878656061,1.11499474241508,-1.64333333333333,-1.64333333333333,-1.64333333333333,-1.64333333333333,-1.53666666666667,-1.04666666666667,1.49666666666667,1.56333333333333,0,0,3,8,3,6,7,10,0,0,1,4,3,6,11,22,La Nina,La Nina,La Nina,La Nina,-0.804242424242424,LA_NINA
2012,2012,-0.0551515151515152,0.414282146573681,-0.723333333333333,0.413333333333333,-0.723333333333333,0,2,9,11,Neutral,FALSE,TRUE,-0.804242424242424,-1.30666666666667,-0.37,-1.30666666666667,0,9,2,-0.501212121212121,-1.64333333333333,1.49666666666667,-1.64333333333333,3,7,1,0.305454545454545,-0.846666666666667,1.56333333333333,1.56333333333333,5,3,3,-0.968888888888889,-0.784444444444444,-0.804242424242424,-0.652727272727273,0.0505891219459209,0.233349205809345,0.284030870423508,0.88967245406221,-1.02333333333333,-1.02333333333333,-1.30666666666667,-1.64333333333333,-0.923333333333333,-0.433333333333333,-0.37,1.49666666666667,0,0,0,3,3,5,9,16,0,1,2,3,3,6,11,22,La Nina,La Nina,La Nina,La Nina,-0.0551515151515152,NEUTRAL
2013,2013,-0.231212121212121,0.0829895940902998,-0.35,-0.1,-0.35,0,0,11,11,Neutral,FALSE,FALSE,-0.0551515151515152,-0.723333333333333,0.413333333333333,-0.723333333333333,0,2,9,-0.804242424242424,-1.30666666666667,-0.37,-1.30666666666667,0,9,2,-0.501212121212121,-1.64333333333333,1.49666666666667,-1.64333333333333,3,7,1,0.112222222222222,0.242777777777778,-0.0551515151515152,-0.42969696969697,0.206890559725918,0.19834220334974,0.414282146573681,0.516825791257459,-0.1,-0.1,-0.723333333333333,-1.30666666666667,0.313333333333333,0.413333333333333,0.413333333333333,0.413333333333333,0,0,0,0,0,0,2,11,3,6,9,11,3,6,11,22,Neutral,Neutral,Neutral,La Nina,-0.231212121212121,NEUTRAL
2014,2014,0.197272727272727,0.365989733255572,-0.316666666666667,0.77,0.77,3,0,8,11,Neutral,TRUE,FALSE,-0.231212121212121,-0.35,-0.1,-0.35,0,0,11,-0.0551515151515152,-0.723333333333333,0.413333333333333,-0.723333333333333,0,2,9,-0.804242424242424,-1.30666666666667,-0.37,-1.30666666666667,0,9,2,-0.128888888888889,-0.204444444444444,-0.231212121212121,-0.143181818181818,0.0283496684937179,0.0950944949140746,0.0829895940902998,0.305166234987475,-0.156666666666667,-0.35,-0.35,-0.723333333333333,-0.1,-0.1,-0.1,0.413333333333333,0,0,0,0,0,0,0,2,3,6,11,20,3,6,11,22,Neutral,Neutral,Neutral,Neutral,0.197272727272727,NEUTRAL
2015,2015,1.59636363636364,0.843206122876587,0.606666666666667,2.75333333333333,2.75333333333333,11,0,0,11,El Nino,TRUE,FALSE,0.197272727272727,-0.316666666666667,0.77,0.77,3,0,8,-0.231212121212121,-0.35,-0.1,-0.35,0,0,11,-0.0551515151515152,-0.723333333333333,0.413333333333333,-0.723333333333333,0,2,9,0.673333333333333,0.418888888888889,0.197272727272727,-0.016969696969697,0.116952031952326,0.295271375492419,0.365989733255572,0.33933783807611,0.543333333333333,0.1,-0.316666666666667,-0.35,0.77,0.77,0.77,0.77,3,3,3,3,0,0,0,0,0,3,8,19,3,6,11,22,El Nino,El Nino,Neutral,Neutral,1.59636363636364,EL_NINO
2016,2016,0.416363636363636,1.25849332717558,-0.64,2.62666666666667,2.62666666666667,4,3,4,11,El Nino,TRUE,TRUE,1.59636363636364,0.606666666666667,2.75333333333333,2.75333333333333,11,0,0,0.197272727272727,-0.316666666666667,0.77,0.77,3,0,8,-0.231212121212121,-0.35,-0.1,-0.35,0,0,11,2.62444444444444,2.25833333333333,1.59636363636364,0.896818181818182,0.141316560849641,0.458072046735009,0.843206122876587,0.956567650023598,2.47333333333333,1.56666666666667,0.606666666666667,-0.316666666666667,2.75333333333333,2.75333333333333,2.75333333333333,2.75333333333333,3,6,11,14,0,0,0,0,0,0,0,8,3,6,11,22,El Nino,El Nino,El Nino,El Nino,0.416363636363636,NEUTRAL
2017,2017,-0.162727272727273,0.431789089929121,-0.863333333333333,0.383333333333333,-0.863333333333333,0,3,8,11,Neutral,FALSE,TRUE,0.416363636363636,-0.64,2.62666666666667,2.62666666666667,4,3,4,1.59636363636364,0.606666666666667,2.75333333333333,2.75333333333333,11,0,0,0.197272727272727,-0.316666666666667,0.77,0.77,3,0,8,-0.563333333333333,-0.513333333333333,0.416363636363636,1.00636363636364,0.0976956725983523,0.120922380981447,1.25849332717558,1.20724440658843,-0.64,-0.64,-0.64,-0.64,-0.453333333333333,-0.31,2.62666666666667,2.75333333333333,0,0,4,15,2,3,3,3,1,3,4,4,3,6,11,22,La Nina,La Nina,El Nino,El Nino,-0.162727272727273,NEUTRAL
2018,2018,0.113333333333333,0.653311224115701,-0.773333333333333,0.966666666666667,0.966666666666667,4,3,4,11,El Nino,TRUE,TRUE,-0.162727272727273,-0.863333333333333,0.383333333333333,-0.863333333333333,0,3,8,0.416363636363636,-0.64,2.62666666666667,2.62666666666667,4,3,4,1.59636363636364,0.606666666666667,2.75333333333333,2.75333333333333,11,0,0,-0.742222222222222,-0.407222222222222,-0.162727272727273,0.126818181818182,0.132929945348557,0.411676338167993,0.431789089929121,0.964781674605027,-0.863333333333333,-0.863333333333333,-0.863333333333333,-0.863333333333333,-0.6,0.19,0.383333333333333,2.62666666666667,0,0,0,4,3,3,3,6,0,3,8,12,3,6,11,22,La Nina,La Nina,Neutral,Neutral,0.113333333333333,NEUTRAL
2019,2019,0.57,0.256965194357351,0.186666666666667,0.89,0.89,7,0,4,11,El Nino,TRUE,FALSE,0.113333333333333,-0.773333333333333,0.966666666666667,0.966666666666667,4,3,4,-0.162727272727273,-0.863333333333333,0.383333333333333,-0.863333333333333,0,3,8,0.416363636363636,-0.64,2.62666666666667,2.62666666666667,4,3,4,0.898888888888889,0.606666666666667,0.113333333333333,-0.0246969696969697,0.0827535385838463,0.348501554276783,0.653311224115701,0.558557911802295,0.806666666666667,0.136666666666667,-0.773333333333333,-0.863333333333333,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,3,4,4,4,0,0,3,6,0,2,4,12,3,6,11,22,El Nino,El Nino,El Nino,Neutral,0.57,EL_NINO
2020,2020,-0.296060606060606,0.723371455495904,-1.20333333333333,0.643333333333333,-1.20333333333333,3,5,3,11,La Nina,TRUE,TRUE,0.57,0.186666666666667,0.89,0.89,7,0,4,0.113333333333333,-0.773333333333333,0.966666666666667,0.966666666666667,4,3,4,-0.162727272727273,-0.863333333333333,0.383333333333333,-0.863333333333333,0,3,8,0.545555555555556,0.397777777777778,0.57,0.341666666666667,0.138256337340517,0.190060419243363,0.256965194357351,0.5378732861536,0.393333333333333,0.186666666666667,0.186666666666667,-0.773333333333333,0.663333333333333,0.663333333333333,0.89,0.966666666666667,2,2,7,11,0,0,0,3,1,4,4,8,3,6,11,22,El Nino,Neutral,El Nino,El Nino,-0.296060606060606,NEUTRAL
2021,2021,-0.657575757575757,0.220313367270304,-0.913333333333333,-0.303333333333333,-0.913333333333333,0,8,3,11,La Nina,FALSE,TRUE,-0.296060606060606,-1.20333333333333,0.643333333333333,-1.20333333333333,3,5,3,0.57,0.186666666666667,0.89,0.89,7,0,4,0.113333333333333,-0.773333333333333,0.966666666666667,0.966666666666667,4,3,4,-1.13222222222222,-0.853888888888889,-0.296060606060606,0.136969696969697,0.0647502323748154,0.345024422109293,0.723371455495904,0.690696994102579,-1.20333333333333,-1.20333333333333,-1.20333333333333,-1.20333333333333,-1.07666666666667,-0.356666666666667,0.643333333333333,0.89,0,0,3,10,3,5,5,5,0,1,3,7,3,6,11,22,La Nina,La Nina,La Nina,El Nino,-0.657575757575757,LA_NINA
2022,2022,-0.846666666666667,0.0826236447190916,-0.966666666666667,-0.716666666666667,-0.966666666666667,0,11,0,11,La Nina,FALSE,TRUE,-0.657575757575757,-0.913333333333333,-0.303333333333333,-0.913333333333333,0,8,3,-0.296060606060606,-1.20333333333333,0.643333333333333,-1.20333333333333,3,5,3,0.57,0.186666666666667,0.89,0.89,7,0,4,-0.851111111111111,-0.662777777777778,-0.657575757575757,-0.476818181818182,0.0758165427076977,0.230481782038954,0.220313367270304,0.553639690743815,-0.913333333333333,-0.913333333333333,-0.913333333333333,-1.20333333333333,-0.766666666666667,-0.346666666666667,-0.303333333333333,0.643333333333333,0,0,0,3,3,4,8,13,0,2,3,6,3,6,11,22,La Nina,La Nina,La Nina,La Nina,-0.846666666666667,LA_NINA
2023,2023,0.93030303030303,0.942921529132202,-0.536666666666667,2.06333333333333,2.06333333333333,7,1,3,11,El Nino,TRUE,TRUE,-0.846666666666667,-0.966666666666667,-0.716666666666667,-0.966666666666667,0,11,0,-0.657575757575757,-0.913333333333333,-0.303333333333333,-0.913333333333333,0,8,3,-0.296060606060606,-1.20333333333333,0.643333333333333,-1.20333333333333,3,5,3,-0.834444444444445,-0.849444444444444,-0.846666666666667,-0.752121212121212,0.112167203234642,0.0985994515798737,0.0826236447190916,0.189020156408304,-0.94,-0.966666666666667,-0.966666666666667,-0.966666666666667,-0.716666666666667,-0.716666666666667,-0.716666666666667,-0.303333333333333,0,0,0,0,3,6,11,19,0,0,0,3,3,6,11,22,La Nina,La Nina,La Nina,La Nina,0.93030303030303,EL_NINO
2024,2024,0.433636363636364,0.832285280344899,-0.413333333333333,1.92666666666667,1.92666666666667,4,0,7,11,Neutral,TRUE,FALSE,0.93030303030303,-0.536666666666667,2.06333333333333,2.06333333333333,7,1,3,-0.846666666666667,-0.966666666666667,-0.716666666666667,-0.966666666666667,0,11,0,-0.657575757575757,-0.913333333333333,-0.303333333333333,-0.913333333333333,0,8,3,1.96222222222222,1.66166666666667,0.93030303030303,0.0418181818181818,0.119737366920427,0.3708174153887,0.942921529132202,1.11965543040182,1.83,1.11666666666667,-0.536666666666667,-0.966666666666667,2.06333333333333,2.06333333333333,2.06333333333333,2.06333333333333,3,6,7,7,0,0,1,12,0,0,3,3,3,6,11,22,El Nino,El Nino,El Nino,La Nina,0.433636363636364,NEUTRAL
2025,2025,-0.290606060606061,0.211785101678398,-0.553333333333333,0.0233333333333333,-0.553333333333333,0,3,8,11,Neutral,FALSE,TRUE,0.433636363636364,-0.413333333333333,1.92666666666667,1.92666666666667,4,0,7,0.93030303030303,-0.536666666666667,2.06333333333333,2.06333333333333,7,1,3,-0.846666666666667,-0.966666666666667,-0.716666666666667,-0.966666666666667,0,11,0,-0.307777777777778,-0.179444444444444,0.433636363636364,0.681969696969697,0.10188955531104,0.174374012674757,0.832285280344899,0.904347324701126,-0.413333333333333,-0.413333333333333,-0.413333333333333,-0.536666666666667,-0.21,0.0833333333333333,1.92666666666667,2.06333333333333,0,0,4,11,0,0,0,1,3,6,7,10,3,6,11,22,Neutral,Neutral,Neutral,El Nino,-0.290606060606061,NEUTRAL
