model_name,exposure_label,model_family,term,estimate_log,std_error,statistic,p_value,irr,conf_low_95,conf_high_95
continuous_ONI_current,"Annual mean ONI, same year",quasi_poisson,(Intercept),-15.2281823993307,0.0581606165397589,-261.82979661023,5.44045354162642e-43,2.43491841691841e-07,2.17258660855245e-07,2.72892582220171e-07
continuous_ONI_current,"Annual mean ONI, same year",quasi_poisson,oni_current,0.0409418673832894,0.0955691246517232,0.428400569038289,0.672179850066301,1.04179154171674,0.863834899539219,1.2564086227258
continuous_ONI_current,"Annual mean ONI, same year",quasi_poisson,year_centered,-0.0068365098840854,0.00770548302836191,-0.88722664872818,0.383761944039472,0.993186805886524,0.978299658474629,1.0083004965218
continuous_ONI_current,"Annual mean ONI, same year",negative_binomial,(Intercept),-15.2292412391857,0.0529255544281849,-287.748355283654,0,2.43234159271766e-07,2.19267075817469e-07,2.69820975247071e-07
continuous_ONI_current,"Annual mean ONI, same year",negative_binomial,oni_current,0.038558285106072,0.0871961679587788,0.442201601385741,0.658343327366755,1.0393113029622,0.876037654751757,1.23301547439885
continuous_ONI_current,"Annual mean ONI, same year",negative_binomial,year_centered,-0.00649544318551184,0.00699533873083502,-0.928538764946481,0.353128169183381,0.993525606605011,0.979996472221529,1.00724151459672
phase_current,"ENSO phase, same year",quasi_poisson,(Intercept),-15.2747811355532,0.0808550935474992,-188.915508787085,3.30356722320457e-38,2.32405734869718e-07,1.98345154582865e-07,2.72315326854977e-07
phase_current,"ENSO phase, same year",quasi_poisson,enso_phase_currentEl Nino,0.149821486103863,0.170087230580063,0.880850876299847,0.387510697992082,1.16162685768206,0.832310687131058,1.62124189602747
phase_current,"ENSO phase, same year",quasi_poisson,enso_phase_currentLa Nina,0.0712884310900379,0.133910429346236,0.532359065967266,0.599583077355725,1.07389092473282,0.825987192996192,1.39619806215183
phase_current,"ENSO phase, same year",quasi_poisson,year_centered,-0.00692571036477079,0.00771463771301652,-0.897736306279863,0.378627928117714,0.993098217097168,0.978194845481216,1.00822865031189
phase_current,"ENSO phase, same year",negative_binomial,(Intercept),-15.2783145831263,0.0701461604323552,-217.806854843607,0,2.31585990504617e-07,2.01837875653228e-07,2.6571856656948e-07
phase_current,"ENSO phase, same year",negative_binomial,enso_phase_currentEl Nino,0.153543995302142,0.152977437133807,1.00370354072437,0.315521529912821,1.16595908271585,0.863905594753025,1.57362169063882
phase_current,"ENSO phase, same year",negative_binomial,enso_phase_currentLa Nina,0.0779584104388797,0.118121177462819,0.659986736615611,0.509262340859858,1.08107769618818,0.857650077821498,1.36271075514179
phase_current,"ENSO phase, same year",negative_binomial,year_centered,-0.0066699887617662,0.00680803044072511,-0.979723698335255,0.327222524866792,0.993352206239057,0.980185216814576,1.00669607000068
continuous_ONI_lag1y,"Annual mean ONI, 1-year lag",quasi_poisson,(Intercept),-15.2330428894793,0.0533734682136526,-285.40477880324,6.87544370372212e-44,2.42311223509837e-07,2.18243399139197e-07,2.69033241190427e-07
continuous_ONI_lag1y,"Annual mean ONI, 1-year lag",quasi_poisson,oni_lag1y,0.157093362319461,0.0785191813082056,2.00070046200347,0.0568593685276017,1.17010485250449,1.00320087886263,1.36477688038592
continuous_ONI_lag1y,"Annual mean ONI, 1-year lag",quasi_poisson,year_centered,-0.00684002097679673,0.00679795267761468,-1.0061883777627,0.324362465926285,0.99318331872169,0.980037925844589,1.00650503268733
continuous_ONI_lag1y,"Annual mean ONI, 1-year lag",negative_binomial,(Intercept),-15.2331067447654,0.0492479761028989,-309.31437086749,0,2.42295751151329e-07,2.20001212790079e-07,2.66849579061203e-07
continuous_ONI_lag1y,"Annual mean ONI, 1-year lag",negative_binomial,oni_lag1y,0.152616904664882,0.0740355731878563,2.06139965010652,0.0392649282160436,1.16487863388122,1.0075354307488,1.3467935620532
continuous_ONI_lag1y,"Annual mean ONI, 1-year lag",negative_binomial,year_centered,-0.00550004322492662,0.00632696214097551,-0.869302376460657,0.384681763388335,0.994515054321078,0.982258380123555,1.00692466797468
continuous_ONI_lag2y,"Annual mean ONI, 2-year lag",quasi_poisson,(Intercept),-15.2341508462027,0.0580034201260711,-262.642285801271,5.05070488929367e-43,2.42042901832427e-07,2.16032376422503e-07,2.71185121867499e-07
continuous_ONI_lag2y,"Annual mean ONI, 2-year lag",quasi_poisson,oni_lag2y,-0.0524609967900049,0.0906091702557337,-0.578981096967778,0.567996727484263,0.948891330141872,0.794489927801316,1.13329914566718
continuous_ONI_lag2y,"Annual mean ONI, 2-year lag",quasi_poisson,year_centered,-0.0059356241388526,0.00734999587779773,-0.807568362967719,0.42727095030465,0.994081956876142,0.979863878887445,1.00850634284909
continuous_ONI_lag2y,"Annual mean ONI, 2-year lag",negative_binomial,(Intercept),-15.2350523889381,0.0529809287131206,-287.557292010345,0,2.41824788146808e-07,2.1797291843952e-07,2.68286668733457e-07
continuous_ONI_lag2y,"Annual mean ONI, 2-year lag",negative_binomial,oni_lag2y,-0.049555699673967,0.08238517906313,-0.601512313713533,0.547498812741864,0.951652149945724,0.809749247170104,1.11842254582062
continuous_ONI_lag2y,"Annual mean ONI, 2-year lag",negative_binomial,year_centered,-0.00567685755286625,0.00674601691619229,-0.841512498914765,0.400060885913197,0.994339225355121,0.981278416603807,1.00757387337809
