model_name,exposure_label,model_family,term,estimate_log,std_error,statistic,p_value,irr,conf_low_95,conf_high_95,interpretation
continuous_ONI_current,"Annual mean ONI, same year",quasi_poisson,oni_current,0.0409418673832894,0.0955691246517232,0.428400569038289,0.672179850066301,1.04179154171674,0.863834899539219,1.2564086227258,IRR per +1.0 unit increase in annual mean ONI
continuous_ONI_current,"Annual mean ONI, same year",negative_binomial,oni_current,0.038558285106072,0.0871961679587788,0.442201601385741,0.658343327366755,1.0393113029622,0.876037654751757,1.23301547439885,IRR per +1.0 unit increase in annual mean ONI
phase_current,"ENSO phase, same year",quasi_poisson,enso_phase_currentEl Nino,0.149821486103863,0.170087230580063,0.880850876299847,0.387510697992082,1.16162685768206,0.832310687131058,1.62124189602747,IRR compared with Neutral years
phase_current,"ENSO phase, same year",quasi_poisson,enso_phase_currentLa Nina,0.0712884310900379,0.133910429346236,0.532359065967266,0.599583077355725,1.07389092473282,0.825987192996192,1.39619806215183,IRR compared with Neutral years
phase_current,"ENSO phase, same year",negative_binomial,enso_phase_currentEl Nino,0.153543995302142,0.152977437133807,1.00370354072437,0.315521529912821,1.16595908271585,0.863905594753025,1.57362169063882,IRR compared with Neutral years
phase_current,"ENSO phase, same year",negative_binomial,enso_phase_currentLa Nina,0.0779584104388797,0.118121177462819,0.659986736615611,0.509262340859858,1.08107769618818,0.857650077821498,1.36271075514179,IRR compared with Neutral years
continuous_ONI_lag1y,"Annual mean ONI, 1-year lag",quasi_poisson,oni_lag1y,0.157093362319461,0.0785191813082056,2.00070046200347,0.0568593685276017,1.17010485250449,1.00320087886263,1.36477688038592,IRR per +1.0 unit increase in annual mean ONI
continuous_ONI_lag1y,"Annual mean ONI, 1-year lag",negative_binomial,oni_lag1y,0.152616904664882,0.0740355731878563,2.06139965010652,0.0392649282160436,1.16487863388122,1.0075354307488,1.3467935620532,IRR per +1.0 unit increase in annual mean ONI
continuous_ONI_lag2y,"Annual mean ONI, 2-year lag",quasi_poisson,oni_lag2y,-0.0524609967900049,0.0906091702557337,-0.578981096967778,0.567996727484263,0.948891330141872,0.794489927801316,1.13329914566718,IRR per +1.0 unit increase in annual mean ONI
continuous_ONI_lag2y,"Annual mean ONI, 2-year lag",negative_binomial,oni_lag2y,-0.049555699673967,0.08238517906313,-0.601512313713533,0.547498812741864,0.951652149945724,0.809749247170104,1.11842254582062,IRR per +1.0 unit increase in annual mean ONI
continuous_ONI_lag3y,"Annual mean ONI, 3-year lag",quasi_poisson,oni_lag3y,-0.118256850080233,0.0931365172251301,-1.26971518372737,0.216359981149336,0.888467820274203,0.740222528469424,1.06640238212555,IRR per +1.0 unit increase in annual mean ONI
continuous_ONI_lag3y,"Annual mean ONI, 3-year lag",negative_binomial,oni_lag3y,-0.118809494122216,0.0832693344922647,-1.4268096994729,0.153634754627526,0.887976949477738,0.754260568033637,1.04539876035071,IRR per +1.0 unit increase in annual mean ONI
phase_lag1y,"ENSO phase, 1-year lag",quasi_poisson,enso_phase_lag1yEl Nino,0.244474577060144,0.138960788062608,1.75930620766196,0.0918233112563624,1.27695019798359,0.972496728463929,1.67671701138355,IRR compared with Neutral years
phase_lag1y,"ENSO phase, 1-year lag",quasi_poisson,enso_phase_lag1yLa Nina,0.00606890201546945,0.129569955167772,0.0468388061693099,0.963046030305742,1.00608735511243,0.780447184503882,1.29696382563104,IRR compared with Neutral years
phase_lag1y,"ENSO phase, 1-year lag",negative_binomial,enso_phase_lag1yEl Nino,0.239497634713264,0.132242314725481,1.81105144151804,0.0701328891359206,1.27061067926377,0.980495422249402,1.64656709416892,IRR compared with Neutral years
phase_lag1y,"ENSO phase, 1-year lag",negative_binomial,enso_phase_lag1yLa Nina,0.00744682306567586,0.115458605554168,0.0644977741583941,0.948573879387635,1.00747461960837,0.803440583359163,1.26332317557487,IRR compared with Neutral years
phase_lag2y,"ENSO phase, 2-year lag",quasi_poisson,enso_phase_lag2yEl Nino,-0.034890369418305,0.174480549701932,-0.199967099358116,0.843263816849475,0.965711281943991,0.68600370744362,1.3594653643334,IRR compared with Neutral years
phase_lag2y,"ENSO phase, 2-year lag",quasi_poisson,enso_phase_lag2yLa Nina,0.0309913242602958,0.134568152172358,0.230302071924131,0.819893128990492,1.0314765550256,0.792341927259052,1.3427837742324,IRR compared with Neutral years
phase_lag2y,"ENSO phase, 2-year lag",negative_binomial,enso_phase_lag2yEl Nino,-0.0334448001903232,0.154777628188417,-0.216082909279431,0.828923121443615,0.967108293951794,0.714045244188332,1.30985880774757,IRR compared with Neutral years
phase_lag2y,"ENSO phase, 2-year lag",negative_binomial,enso_phase_lag2yLa Nina,0.0319510828622015,0.120223677328072,0.265763646332426,0.790421242634006,1.03246699873936,0.815717385994512,1.30681057163717,IRR compared with Neutral years
phase_lag3y,"ENSO phase, 3-year lag",quasi_poisson,enso_phase_lag3yEl Nino,-0.19803930113684,0.178898904543214,-1.106990015632,0.279741991040984,0.820337612303529,0.577711220286968,1.16486191461813,IRR compared with Neutral years
phase_lag3y,"ENSO phase, 3-year lag",quasi_poisson,enso_phase_lag3yLa Nina,0.0407980672929469,0.132721539651242,0.307395976569846,0.761308166141931,1.04164174276974,0.803051726599303,1.35111784750792,IRR compared with Neutral years
