enso_phase_lag1y,years,years_list,total_cases,mean_cases,median_cases,mean_incidence_100k,median_incidence_100k,min_incidence_100k,max_incidence_100k,mean_oni_lag1y
Neutral,14,"1999, 2002, 2004, 2005, 2006, 2007, 2010, 2013, 2014, 2015, 2017, 2018, 2019, 2021",634,45.2857142857143,45.5,0.0231323067124195,0.0244479126458584,0.0152883660535108,0.0351127820463042,0.0536580086580087
El Nino,5,"1998, 2003, 2016, 2020, 2024",291,58.2,45,0.0293710358117472,0.0254387805232013,0.0198341775861213,0.0482292021958399,0.990909090909091
La Nina,8,"2000, 2001, 2008, 2009, 2011, 2012, 2022, 2023",357,44.625,40.5,0.0231671648934021,0.020524511620961,0.0159837575324617,0.0326982105002466,-0.788295454545454
