period_id,period_label,start_year,end_year,municipalities,municipalities_with_valid_incidence,municipalities_with_cases,total_cases,total_person_years,national_annualized_incidence_100k,median_municipal_incidence_100k,mean_municipal_incidence_100k,max_municipal_incidence_100k
period_1_1998_2004,Period 1 | 1998-2004,1998,2004,5570,5565,190,347,1277818217,0.0271556623143681,0,0.0272648895106754,4.0854679903583
overall_1998_2024,Overall period | 1998-2024,1998,2024,5570,5570,538,1282,5282290517,0.0242697745584825,0,0.0278482456732692,2.44741125074952
period_2_2005_2011,Period 2 | 2005-2011,2005,2011,5570,5570,193,334,1326071110,0.025187186228648,0,0.0293581846911892,8.03019352766402
period_3_2012_2018,Period 3 | 2012-2018,2012,2018,5570,5570,183,304,1424435472,0.0213417880961055,0,0.028567648783842,9.62047236519313
period_4_2019_2024,Period 4 | 2019-2024,2019,2024,5570,5570,164,297,1253965718,0.0236848580257598,0,0.0257956173671965,6.59152330103487
