selection_role,publication_model_label,model_block,model_family,rows_used,total_events,predictor_count,AIC,BIC,overdispersion_pearson,theta
best_BIC_parsimonious_model,"M3: climate, soil, and elevation",M3_climate_soil_elevation,negative_binomial,60345,1017,15,8672.5597,8825.6928,1.4995,0.0818
best_AIC_full_model,M6: full retrospective model including ENSO,M6_full_retro_with_enso,negative_binomial,60345,1017,68,8458.9981,9080.5386,1.167,0.1176
