summary_type,future_scenario,future_period,municipalities,complete_predictions,missing_predictions,median_future_rate_annual_100k,mean_future_rate_annual_100k,max_future_rate_annual_100k,median_current_rate_annual_100k,median_future_minus_current_rate_annual_100k,mean_future_minus_current_rate_annual_100k,median_percent_change_from_current,municipalities_higher_than_current,municipalities_lower_than_current
Current baseline,,,5570,5356,214,0.032,0.0439,0.3726,0.032,0,0,0,,
SSP245 | 2041-2060,245,2041-2060,5570,5285,285,0.0523,0.0759,0.7795,0.032,0.0178,0.0317,52.8466,5219,66
SSP245 | 2061-2080,245,2061-2080,5570,5285,285,0.0566,0.0818,0.8799,0.032,0.0214,0.0375,64.8897,5238,47
SSP585 | 2041-2060,585,2041-2060,5570,5285,285,0.0603,0.089,0.9958,0.032,0.0255,0.0447,71.7926,5245,40
SSP585 | 2061-2080,585,2061-2080,5570,5285,285,0.0797,0.1239,1.6929,0.032,0.0438,0.0797,119.7828,5275,10
